"ASV","species","average","overall","sd","ratio","ava","avb","ord","cusum","p","Comparison","Position","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV_5988","ASV_5988",0.0092208726945569,0.927607899235268,0.0132632101941261,0.695221787153807,68.3266666666667,0,583,1,0.001,"1931-1962_1984-2024",5988,"Bacteria","Acidobacteriota","Blastocatellia","Pyrinomonadales","Pyrinomonadaceae","Incertae_Sedis",NA
"ASV_24939","ASV_24939",0.00424655870445344,0.927607899235268,0.00528878737247611,0.802936175228629,31.7366666666667,0.9134,24302,1,0.027,"1931-1962_1984-2024",24939,"Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Xanthobacteraceae","Rhodoplanes",NA
"ASV_4822","ASV_4822",0.00314319388214125,0.927607899235268,0.000998318533309188,3.14848795977203,23.6146666666667,0.3236,28344,0.994641458653759,0.001,"1931-1962_1984-2024",4822,"Bacteria","Acidobacteriota","Acidobacteriae","Subgroup_2","Incertae_Sedis","Incertae_Sedis",NA
"ASV_1044","ASV_1044",0.00262802519118309,0.927607899235268,0.00147691731114967,1.77939900314214,28.33,10.4614,23940,0.739282020151805,0.02,"1931-1962_1984-2024",1044,"Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Incertae_Sedis",NA
"ASV_993","ASV_993",0.00258481331533963,0.927607899235268,0.000697405482815276,3.70632778065537,19.7106666666667,0.5572,1351,0.728759266236419,0.001,"1931-1962_1984-2024",993,"Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Incertae_Sedis",NA
"ASV_18268","ASV_18268",0.00240699955015744,0.927607899235268,0.00157939632928998,1.52399971148439,0.510666666666667,18.2444,15725,1,0.047,"1931-1962_1984-2024",18268,"Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Hymenobacteraceae","Hymenobacter",NA
"ASV_877","ASV_877",0.00233306342780027,0.927607899235268,0.000957901884312358,2.4355974928216,17.288,0,13951,0.702583919024064,0.003,"1931-1962_1984-2024",877,"Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Incertae_Sedis",NA
"ASV_23961","ASV_23961",0.00218705353126406,0.927607899235268,0.00191253512362975,1.14353640058296,16.4726666666667,0.2666,22953,1,0.001,"1931-1962_1984-2024",23961,"Bacteria","Actinomycetota","Thermoleophilia","Gaiellales","Incertae_Sedis","Incertae_Sedis",NA
"ASV_19026","ASV_19026",0.00211039136302294,0.927607899235268,0.00121317246243597,1.73956418264342,15.638,0,16680,1,0.001,"1931-1962_1984-2024",19026,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Nemorincola",NA
"ASV_19025","ASV_19025",0.00189626630679262,0.927607899235268,0.000963606975894187,1.96788353989755,14.0513333333333,0,16679,1,0.014,"1931-1962_1984-2024",19025,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Nemorincola",NA
"ASV_5988","ASV_5988",0.0092208726945569,0.855505802968961,0.0136201316172435,0.67700320038633,68.3266666666667,0,589,1,0.001,"1931-1962_LIA",5988,"Bacteria","Acidobacteriota","Blastocatellia","Pyrinomonadales","Pyrinomonadaceae","Incertae_Sedis",NA
"ASV_24939","ASV_24939",0.00418342330184435,0.855505802968961,0.00515502773800137,0.811522947006739,31.7366666666667,4.2735,24216,1,0.034,"1931-1962_LIA",24939,"Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Xanthobacteraceae","Rhodoplanes",NA
"ASV_11998","ASV_11998",0.00405357624831309,0.855505802968961,0.00327364538099285,1.23824537375019,0,30.037,8200,1,0.011,"1931-1962_LIA",11998,"Bacteria","Actinomycetota","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Conexibacter",NA
"ASV_14169","ASV_14169",0.00346545209176788,0.855505802968961,0.00345885414935808,1.00190755149679,0,25.679,10855,1,0.011,"1931-1962_LIA",14169,"Bacteria","Candidatus_Eremiobacterota","Eremiobacteria","Incertae_Sedis","Incertae_Sedis","Incertae_Sedis",NA
"ASV_11877","ASV_11877",0.00301027890238417,0.855505802968961,0.00214741821421062,1.40181306205914,3.28866666666667,25.2395,8053,1,0.014,"1931-1962_LIA",11877,"Bacteria","Actinomycetota","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Incertae_Sedis",NA
"ASV_974","ASV_974",0.00285200179937022,0.855505802968961,0.0036641690500094,0.778348859030644,20.2,2.8,3168,0.637073537164525,0.018,"1931-1962_LIA",974,"Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Incertae_Sedis",NA
"ASV_23711","ASV_23711",0.00284008097165992,0.855505802968961,0.00307052713583098,0.924948989545832,0,21.045,22632,1,0.011,"1931-1962_LIA",23711,"Bacteria","Actinomycetota","Actinobacteria","Frankiales","Acidothermaceae","Acidothermus",NA
"ASV_27732","ASV_27732",0.00249865047233468,0.855505802968961,0.0020171063009942,1.23873019042335,1.054,19.042,27602,1,0.015,"1931-1962_LIA",27732,"Bacteria","Pseudomonadota","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Incertae_Sedis",NA
"ASV_23191","ASV_23191",0.00241835357624831,0.855505802968961,0.00142624541865545,1.69560830458488,3.628,19.734,22004,1,0.016,"1931-1962_LIA",23191,"Bacteria","Actinomycetota","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Crossiella",NA
"ASV_16413","ASV_16413",0.00224878542510121,0.855505802968961,0.00154685100437126,1.45378282636553,0,16.6635,13674,1,0.008,"1931-1962_LIA",16413,"Bacteria","Chloroflexota","TK10","Incertae_Sedis","Incertae_Sedis","Incertae_Sedis",NA
"ASV_5988","ASV_5988",0.0092208726945569,0.843289278752437,0.0134183407341289,0.687184270936277,68.3266666666667,0,1763,0.991274750056731,0.001,"1931-1962_LIA-1931",5988,"Bacteria","Acidobacteriota","Blastocatellia","Pyrinomonadales","Pyrinomonadaceae","Incertae_Sedis",NA
"ASV_24939","ASV_24939",0.00427449392712551,0.843289278752437,0.00539522659639435,0.792273290241816,31.7366666666667,0.188,23993,1,0.014,"1931-1962_LIA-1931",24939,"Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Xanthobacteraceae","Rhodoplanes",NA
"ASV_4822","ASV_4822",0.00289905533063428,0.843289278752437,0.00103674187956459,2.79631351619731,23.6146666666667,2.13266666666667,24027,0.964363567023161,0.001,"1931-1962_LIA-1931",4822,"Bacteria","Acidobacteriota","Acidobacteriae","Subgroup_2","Incertae_Sedis","Incertae_Sedis",NA
"ASV_21888","ASV_21888",0.00249397210976158,0.843289278752437,0.00358730600968113,0.695221456722972,18.4086666666667,0.215,19865,1,0.028,"1931-1962_LIA-1931",21888,"Bacteria","Sumerlaeota","Sumerlaeia","Sumerlaeales","Sumerlaeaceae","Sumerlaea",NA
"ASV_22927","ASV_22927",0.00246932073774179,0.843289278752437,0.00177259776172123,1.39305193263024,0.552,18.6656666666667,21301,1,0.029,"1931-1962_LIA-1931",22927,"Bacteria","Actinomycetota","Actinobacteria","Micrococcales","Micrococcaceae","Paenarthrobacter",NA
"ASV_25455","ASV_25455",0.00237864747338432,0.843289278752437,0.00291216461915092,0.816797051149479,16.5166666666667,3.32733333333333,24746,1,0.023,"1931-1962_LIA-1931",25455,"Bacteria","Pseudomonadota","Alphaproteobacteria","Reyranellales","Reyranellaceae","Reyranella",NA
"ASV_23961","ASV_23961",0.00219910031488979,0.843289278752437,0.0019324991627656,1.13795667147543,16.4726666666667,0.177333333333333,22597,1,0.001,"1931-1962_LIA-1931",23961,"Bacteria","Actinomycetota","Thermoleophilia","Gaiellales","Incertae_Sedis","Incertae_Sedis",NA
"ASV_19026","ASV_19026",0.00211039136302294,0.843289278752437,0.00122736209650342,1.7194529381632,15.638,0,15974,1,0.001,"1931-1962_LIA-1931",19026,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Nemorincola",NA
"ASV_993","ASV_993",0.00208317588843905,0.843289278752437,0.000894775643626667,2.32815444103463,19.7106666666667,4.27433333333333,17533,0.623969144380723,0.006,"1931-1962_LIA-1931",993,"Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Incertae_Sedis",NA
"ASV_20303","ASV_20303",0.00189637127005548,0.843289278752437,0.00219361317736155,0.86449666223122,13.646,3.18033333333333,17686,1,0.05,"1931-1962_LIA-1931",20303,"Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","AKYH767","Incertae_Sedis",NA
"ASV_11958","ASV_11958",0.00847260458839406,0.971997989203779,0.0062434549278481,1.35703783983498,66.6972,4.894,7320,1,0.025,"1984-2024_LIA",11958,"Bacteria","Actinomycetota","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Incertae_Sedis",NA
"ASV_24608","ASV_24608",0.00700184885290148,0.971997989203779,0.00331497604180931,2.11218686487999,3.0528,54.9365,23662,1,0.001,"1984-2024_LIA",24608,"Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Xanthobacteraceae","Incertae_Sedis",NA
"ASV_11735","ASV_11735",0.00564974358974359,0.971997989203779,0.00421984045334543,1.33885241686438,41.8646,0,7020,1,0.048,"1984-2024_LIA",11735,"Bacteria","Actinomycetota","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Incertae_Sedis",NA
"ASV_11998","ASV_11998",0.00401622132253711,0.971997989203779,0.00317623382120172,1.26446022195481,0.2768,30.037,7377,1,0.001,"1984-2024_LIA",11998,"Bacteria","Actinomycetota","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Conexibacter",NA
"ASV_17988","ASV_17988",0.00374124156545209,0.971997989203779,0.00270003980813768,1.38562459493238,27.7226,0,15128,1,0.027,"1984-2024_LIA",17988,"Bacteria","Candidatus_Kapabacteria","Kapabacteria","Kapabacteriales","Incertae_Sedis","Incertae_Sedis",NA
"ASV_14169","ASV_14169",0.00346545209176788,0.971997989203779,0.00335378842163321,1.03329478669984,0,25.679,10088,1,0.001,"1984-2024_LIA",14169,"Bacteria","Candidatus_Eremiobacterota","Eremiobacteria","Incertae_Sedis","Incertae_Sedis","Incertae_Sedis",NA
"ASV_11877","ASV_11877",0.00334376518218623,0.971997989203779,0.00208492744051429,1.603780120694,0.4622,25.2395,7208,1,0.001,"1984-2024_LIA",11877,"Bacteria","Actinomycetota","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Incertae_Sedis",NA
"ASV_5897","ASV_5897",0.00302920377867746,0.971997989203779,0.00215821885337401,1.40356654467262,22.4464,0,2641,0.999098272072032,0.05,"1984-2024_LIA",5897,"Bacteria","Acidobacteriota","Blastocatellia","Blastocatellales","Blastocatellaceae","Blastocatella",NA
