"ASV","species","average","overall","sd","ratio","ava","avb","ord","cusum","p","Comparison","Position","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV_21961","ASV_21961",0.0127291857849753,0.786418029689609,0.0164703196673885,0.772856024778877,93.336,7.0234,20045,1,0.04,"1931-1962_1984-2024",21961,"Bacteria","Bacillota","Bacilli","Bacillales","Planococcaceae","Incertae_Sedis",NA
"ASV_863","ASV_863",0.0024927485380117,0.786418029689609,0.00233794586368291,1.06621311328609,18.7806666666667,1.8338,17176,0.691154495135153,0.016,"1931-1962_1984-2024",863,"Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia",NA
"ASV_18700","ASV_18700",0.00226843904633378,0.786418029689609,0.00321153686510876,0.706340652968641,16.7193333333333,0.2694,16149,1,0.023,"1931-1962_1984-2024",18700,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",NA
"ASV_3346","ASV_3346",0.0022442645074224,0.786418029689609,0.00322812741040564,0.695221787153807,16.63,0,22611,0.961373115892756,0.001,"1931-1962_1984-2024",3346,"Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Incertae_Sedis",NA
"ASV_6509","ASV_6509",0.00198857399910032,0.786418029689609,0.00156567176105922,1.27010913050829,14.7353333333333,0,1699,1,0.002,"1931-1962_1984-2024",6509,"Bacteria","Acidobacteriota","Thermoanaerobaculia","Thermoanaerobaculales","Thermoanaerobaculaceae","Subgroup_10",NA
"ASV_6548","ASV_6548",0.00175384615384615,0.786418029689609,0.00252271460166156,0.695221787153807,12.996,0,1745,1,0.001,"1931-1962_1984-2024",6548,"Bacteria","Acidobacteriota","Thermoanaerobaculia","Thermoanaerobaculales","Thermoanaerobaculaceae","Subgroup_10",NA
"ASV_19940","ASV_19940",0.00162259109311741,0.786418029689609,0.00197353071496857,0.82217676208969,12.0813333333333,0.1738,17554,1,0.02,"1931-1962_1984-2024",19940,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Terrimonas",NA
"ASV_19159","ASV_19159",0.00155177687809267,0.786418029689609,0.00223206019541698,0.695221787153807,11.4986666666667,0,16662,1,0.001,"1931-1962_1984-2024",19159,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Incertae_Sedis",NA
"ASV_21966","ASV_21966",0.00153774179037337,0.786418029689609,0.00207978644125241,0.739374851125278,11.12,0.824,20052,1,0.02,"1931-1962_1984-2024",21966,"Bacteria","Bacillota","Bacilli","Bacillales","Planococcaceae","Sporosarcina",NA
"ASV_674","ASV_674",0.00139558254610886,0.786418029689609,0.00107526661910914,1.29789442107401,12.0606666666667,2.0806,16976,0.635235222221475,0.015,"1931-1962_1984-2024",674,"Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Nitrosomonadaceae","MND1",NA
"ASV_21961","ASV_21961",0.0127320062977958,0.820128025191183,0.0167093670266143,0.761968198886083,93.336,8.3255,20103,1,0.049,"1931-1962_LIA",21961,"Bacteria","Bacillota","Bacilli","Bacillales","Planococcaceae","Incertae_Sedis",NA
"ASV_6544","ASV_6544",0.00962854251012146,0.820128025191183,0.0111089032613929,0.866741052969993,65.6713333333333,17.0285,2126,1,0.032,"1931-1962_LIA",6544,"Bacteria","Acidobacteriota","Thermoanaerobaculia","Thermoanaerobaculales","Thermoanaerobaculaceae","Subgroup_10",NA
"ASV_20044","ASV_20044",0.0025955240665767,0.820128025191183,0.00329165887076165,0.788515507980364,18.258,2.9245,17738,1,0.013,"1931-1962_LIA",20044,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Incertae_Sedis",NA
"ASV_863","ASV_863",0.00253450292397661,0.820128025191183,0.00249710268464071,1.01497745349678,18.7806666666667,0,28356,0.653765011288737,0.009,"1931-1962_LIA",863,"Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia",NA
"ASV_3346","ASV_3346",0.0022442645074224,0.820128025191183,0.00331499837244746,0.67700320038633,16.63,0,12375,0.955421007198222,0.001,"1931-1962_LIA",3346,"Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Incertae_Sedis",NA
"ASV_6559","ASV_6559",0.00220404858299595,0.820128025191183,0.00291717296409825,0.755542646980915,15.7053333333333,1.88,2141,1,0.03,"1931-1962_LIA",6559,"Bacteria","Acidobacteriota","Thermoanaerobaculia","Thermoanaerobaculales","Thermoanaerobaculaceae","Subgroup_10",NA
"ASV_6509","ASV_6509",0.00196576698155646,0.820128025191183,0.00155144822477709,1.26705290589952,14.7353333333333,0.507,2088,1,0.007,"1931-1962_LIA",6509,"Bacteria","Acidobacteriota","Thermoanaerobaculia","Thermoanaerobaculales","Thermoanaerobaculaceae","Subgroup_10",NA
"ASV_6548","ASV_6548",0.00175384615384615,0.820128025191183,0.00259060245630349,0.67700320038633,12.996,0,2130,1,0.001,"1931-1962_LIA",6548,"Bacteria","Acidobacteriota","Thermoanaerobaculia","Thermoanaerobaculales","Thermoanaerobaculaceae","Subgroup_10",NA
"ASV_953","ASV_953",0.00167010796221323,0.820128025191183,0.0017895404362884,0.933260812858254,0.924,12.3755,18903,0.676852017113727,0.044,"1931-1962_LIA",953,"Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Incertae_Sedis",NA
"ASV_21517","ASV_21517",0.00166500224921278,0.820128025191183,0.00159937163196724,1.04103525155364,10.1326666666667,6.615,19562,1,0.044,"1931-1962_LIA",21517,"Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Microscillaceae","Ohtaekwangia",NA
