"","Kingdom","Phylum","Class","Order","Family","Genus","Species","latrineAbun","controlAbun"
"ASV_464","Bacteria","Bacteroidota","Bacteroidia","Incertae_Sedis","Incertae_Sedis","Incertae_Sedis",NA,0,0
"ASV_467","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Incertae_Sedis",NA,0,0
"ASV_468","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Incertae_Sedis",NA,0,0
"ASV_469","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Sediminibacterium",NA,0,0
"ASV_470","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Incertae_Sedis",NA,0,0
"ASV_471","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Incertae_Sedis",NA,0,0
"ASV_472","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Incertae_Sedis",NA,0,0
"ASV_473","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Incertae_Sedis","Incertae_Sedis",NA,0.232,0
"ASV_475","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","AKYH767","Incertae_Sedis",NA,0,0
"ASV_476","Bacteria","Bacteroidota","Bacteroidia","Incertae_Sedis","Incertae_Sedis","Incertae_Sedis",NA,0,0
"ASV_477","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Incertae_Sedis",NA,0,0.142
"ASV_478","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter",NA,0,0
"ASV_479","Bacteria","Bacteroidota","Bacteroidia","Incertae_Sedis","Incertae_Sedis","Incertae_Sedis",NA,0,0
"ASV_18055","Bacteria","Bacteroidota","Bacteroidia","Incertae_Sedis","Incertae_Sedis","Incertae_Sedis",NA,0,0
"ASV_18056","Bacteria","Bacteroidota","Bacteroidia","Incertae_Sedis","Incertae_Sedis","Incertae_Sedis",NA,0,0
"ASV_18057","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Microscillaceae","Incertae_Sedis",NA,0,0
"ASV_18058","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Microscillaceae","Incertae_Sedis",NA,0,0
"ASV_18060","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Spirosomataceae","Arcicella",NA,0,0
"ASV_18061","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Spirosomataceae","Incertae_Sedis",NA,0.214,0
"ASV_18062","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cytophagaceae","Siphonobacter",NA,0,0
"ASV_18063","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cytophagaceae","Siphonobacter",NA,0,0
"ASV_18064","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cytophagaceae","Siphonobacter",NA,0,0.808
"ASV_18065","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cytophagaceae","Siphonobacter",NA,0,0
"ASV_18066","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cytophagaceae","Siphonobacter",NA,2.368,0
"ASV_18067","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cytophagaceae","Siphonobacter",NA,0,0
"ASV_18068","Bacteria","Bacteroidota","Bacteroidia","Incertae_Sedis","Incertae_Sedis","Incertae_Sedis",NA,0,0
"ASV_18069","Bacteria","Bacteroidota","Bacteroidia","Incertae_Sedis","Incertae_Sedis","Incertae_Sedis",NA,0,0
"ASV_18070","Bacteria","Bacteroidota","Bacteroidia","Incertae_Sedis","Incertae_Sedis","Incertae_Sedis",NA,0,0.86
"ASV_18071","Bacteria","Bacteroidota","Bacteroidia","Incertae_Sedis","Incertae_Sedis","Incertae_Sedis",NA,0,0
"ASV_18072","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Incertae_Sedis","Incertae_Sedis",NA,0,0
"ASV_18073","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Incertae_Sedis","Incertae_Sedis",NA,0,0
"ASV_18074","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Incertae_Sedis","Incertae_Sedis",NA,0,0
"ASV_18075","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Incertae_Sedis","Incertae_Sedis",NA,0,0
"ASV_18076","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Incertae_Sedis","Incertae_Sedis",NA,0,0
"ASV_18077","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Incertae_Sedis","Incertae_Sedis",NA,0,0
"ASV_18078","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cytophagaceae","Rhodocytophaga",NA,0,0
"ASV_18079","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cytophagaceae","Rhodocytophaga",NA,0,0
"ASV_18080","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cytophagaceae","Incertae_Sedis",NA,0,0
"ASV_18081","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cytophagaceae","Incertae_Sedis",NA,0,0
"ASV_18082","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cytophagaceae","Incertae_Sedis",NA,0,0
"ASV_18083","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Hymenobacteraceae","Hymenobacter",NA,0,0
"ASV_18084","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Hymenobacteraceae","Hymenobacter",NA,0,0
"ASV_18085","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Hymenobacteraceae","Hymenobacter",NA,0,0
"ASV_18086","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Hymenobacteraceae","Hymenobacter",NA,0,0
"ASV_18087","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Hymenobacteraceae","Hymenobacter",NA,0,0
"ASV_18088","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Hymenobacteraceae","Hymenobacter",NA,0,0
"ASV_18089","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Hymenobacteraceae","Hymenobacter",NA,0,0
"ASV_18090","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Hymenobacteraceae","Hymenobacter",NA,0,0
"ASV_18091","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Hymenobacteraceae","Hymenobacter",NA,1.184,0
"ASV_18092","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Hymenobacteraceae","Hymenobacter",NA,0,0
"ASV_18093","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Hymenobacteraceae","Hymenobacter",NA,0,0
"ASV_18094","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Hymenobacteraceae","Hymenobacter",NA,0,0
"ASV_18095","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Hymenobacteraceae","Hymenobacter",NA,0,0
"ASV_18096","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Hymenobacteraceae","Hymenobacter",NA,0,0
"ASV_18097","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Hymenobacteraceae","Hymenobacter",NA,0,0
"ASV_18098","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Hymenobacteraceae","Hymenobacter",NA,0.562,0
"ASV_18099","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Hymenobacteraceae","Hymenobacter",NA,0,0
"ASV_18100","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Hymenobacteraceae","Hymenobacter",NA,0,0
"ASV_18101","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Hymenobacteraceae","Hymenobacter",NA,0,0
"ASV_18102","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Hymenobacteraceae","Hymenobacter",NA,0,0
"ASV_18103","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Hymenobacteraceae","Hymenobacter",NA,0,0
"ASV_18104","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Hymenobacteraceae","Adhaeribacter",NA,0,0
"ASV_18105","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Hymenobacteraceae","Adhaeribacter",NA,0,0
"ASV_18106","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Hymenobacteraceae","Adhaeribacter",NA,0.58,0
"ASV_18107","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Hymenobacteraceae","Adhaeribacter",NA,0,0
"ASV_18108","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Hymenobacteraceae","Adhaeribacter",NA,0,0
"ASV_18109","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Hymenobacteraceae","Adhaeribacter",NA,0,0
