Family,Latrine_Abundance,Control_Abundance
Chitinophagaceae,9957.678,9896.272
Sphingobacteriaceae,5854.644,1271.682
Microscillaceae,3782.308,192.306
Flavobacteriaceae,2089.986,63.704
env.OPS_17,2006.822,483.156
Saprospiraceae,1850.696,492.56
Incertae_Sedis,1664.808,1529.248
AKYH767,995.946,926.344
NS11-12_marine_group,874.168,107.882
Spirosomataceae,866.858,1648.358
Cytophagaceae,524.82,215.104
37-13,408.618,107.734
Weeksellaceae,180.612,8.372
NS9_marine_group,178.27,53.786
Hymenobacteraceae,177.548,1586.788
Crocinitomicaceae,119.298,1.058
KD3-93,88.87,171.63
Blattabacteriaceae,53.85,6.338
LiUU-11-161,30.728,0.566
Paludibacteraceae,18.348,0
Amoebophilaceae,6.14,0.35
FFCH9454,4.15,17.126
Cyclobacteriaceae,0.5,5.258
Lentimicrobiaceae,0.148,0
MWH-CFBk5,0,1.878
S15-21,0,0
CWT_CU03-E12,0,0
Prolixibacteraceae,0,0
Barnesiellaceae,0,0
Bacteroidaceae,0,0.864
Dysgonomonadaceae,0,0.178
Rikenellaceae,0,0
Bacteroidetes_vadinHA17,0,0
