Kingdom,Phylum,Class,Order,Family,Genus,sumL,sumC
Bacteria,Bacteroidota,Bacteroidia,Incertae_Sedis,Incertae_Sedis,Incertae_Sedis,1498.044,886.34
Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Sediminibacterium,54.678,4.578
Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,449.532,15.622
Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomataceae,Arcicella,0,0
Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cytophagaceae,Siphonobacter,2.368,0.808
Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cytophagaceae,Rhodocytophaga,0,0
Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Hymenobacteraceae,Hymenobacter,12.336,5.55
Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Hymenobacteraceae,Adhaeribacter,2.654,0
Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomataceae,Runella,0,0
Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomataceae,Persicitalea,0,0
Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomataceae,Fibrella,4.754,0.726
Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomataceae,Huanghella,0,0
Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomataceae,Spirosoma,21.586,1.298
Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomataceae,Rudanella,0,0
Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomataceae,Larkinella,5.968,0
Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomataceae,Dyadobacter,28.956,0.248
Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomataceae,Emticicia,3.296,0
Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cytophagaceae,Sporocytophaga,0,1.536
Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Amoebophilaceae,Candidatus_Amoebophilus,0,0
Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Amoebophilaceae,Candidatus_Cardinium,0,0
