"","Kingdom","Phylum","Class","Order","Family","Species","sumL","sumC"
"1","Bacteria","Bacteroidota","Bacteroidia","Incertae_Sedis","Incertae_Sedis",NA,1664.808,1529.248
"2","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae",NA,9957.678,9896.272
"3","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Incertae_Sedis",NA,1664.808,1529.248
"4","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","AKYH767",NA,995.946,926.344
"5","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae",NA,5854.644,1271.682
"6","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Microscillaceae",NA,3782.308,192.306
"7","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Spirosomataceae",NA,866.858,1648.358
"8","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cytophagaceae",NA,524.82,215.104
"9","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Incertae_Sedis",NA,1664.808,1529.248
"10","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Hymenobacteraceae",NA,177.548,1586.788
"11","Bacteria","Bacteroidota","Bacteroidia","SM1A07","Incertae_Sedis",NA,1664.808,1529.248
"12","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","MWH-CFBk5",NA,0,1.878
"13","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae",NA,0.5,5.258
"14","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Amoebophilaceae",NA,6.14,0.35
"15","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Incertae_Sedis",NA,1664.808,1529.248
"16","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA,2089.986,63.704
"17","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Blattabacteriaceae",NA,53.85,6.338
"18","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Weeksellaceae",NA,180.612,8.372
"19","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","NS9_marine_group",NA,178.27,53.786
"20","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Incertae_Sedis",NA,1664.808,1529.248
"21","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","FFCH9454",NA,4.15,17.126
"22","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Incertae_Sedis",NA,1664.808,1529.248
"23","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","S15-21",NA,0,0
"24","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","KD3-93",NA,88.87,171.63
"25","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","env.OPS_17",NA,2006.822,483.156
"26","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Lentimicrobiaceae",NA,0.148,0
"27","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","LiUU-11-161",NA,30.728,0.566
"28","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","CWT_CU03-E12",NA,0,0
"29","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prolixibacteraceae",NA,0,0
"30","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Paludibacteraceae",NA,18.348,0
"31","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","NS11-12_marine_group",NA,874.168,107.882
"32","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","37-13",NA,408.618,107.734
"33","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae",NA,1850.696,492.56
"34","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Crocinitomicaceae",NA,119.298,1.058
"35","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Barnesiellaceae",NA,0,0
"36","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae",NA,0,0.864
"37","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Dysgonomonadaceae",NA,0,0.178
"38","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae",NA,0,0
"39","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidetes_vadinHA17",NA,0,0
