"","Kingdom","Phylum","Class","Order","Family","Genus","Species","sumL","sumC"
"1","Bacteria","Bacteroidota","Bacteroidia","Incertae_Sedis","Incertae_Sedis","Incertae_Sedis",NA,14147.992,10788.85
"2","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Incertae_Sedis",NA,14147.992,10788.85
"3","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Sediminibacterium",NA,288.384,51.78
"4","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Incertae_Sedis","Incertae_Sedis",NA,14147.992,10788.85
"5","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","AKYH767","Incertae_Sedis",NA,14147.992,10788.85
"6","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Incertae_Sedis",NA,14147.992,10788.85
"7","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter",NA,2167.772,181.152
"8","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Microscillaceae","Incertae_Sedis",NA,14147.992,10788.85
"9","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Spirosomataceae","Arcicella",NA,0,0
"10","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Spirosomataceae","Incertae_Sedis",NA,14147.992,10788.85
"11","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cytophagaceae","Siphonobacter",NA,173.208,0.66
"12","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Incertae_Sedis","Incertae_Sedis",NA,14147.992,10788.85
"13","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cytophagaceae","Rhodocytophaga",NA,13.496,0
"14","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cytophagaceae","Incertae_Sedis",NA,14147.992,10788.85
"15","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Hymenobacteraceae","Hymenobacter",NA,82.282,1506.64
"16","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Hymenobacteraceae","Adhaeribacter",NA,95.266,80.148
"17","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Spirosomataceae","Runella",NA,14.006,0
"18","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Spirosomataceae","Persicitalea",NA,2.102,0
"19","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Spirosomataceae","Fibrella",NA,29.848,36.604
"20","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Spirosomataceae","Huanghella",NA,0.136,1.258
"21","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Spirosomataceae","Spirosoma",NA,66.77,1549.816
"22","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Spirosomataceae","Rudanella",NA,17.716,3.866
"23","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Spirosomataceae","Larkinella",NA,89.15,0
"24","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Spirosomataceae","Dyadobacter",NA,443.358,9.806
"25","Bacteria","Bacteroidota","Bacteroidia","SM1A07","Incertae_Sedis","Incertae_Sedis",NA,14147.992,10788.85
"26","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","MWH-CFBk5","Incertae_Sedis",NA,14147.992,10788.85
"27","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Incertae_Sedis",NA,14147.992,10788.85
"28","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Amoebophilaceae","Incertae_Sedis",NA,14147.992,10788.85
"29","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Spirosomataceae","Emticicia",NA,106.924,0
