"Family","lowest_tax","control","latrine"
"Blattabacteriaceae","Candidatus_Brownia",6.338,53.85
"Lentimicrobiaceae","Incertae_Sedis",0,0.148
"Paludibacteraceae","Incertae_Sedis",0,18.348
"Sphingobacteriaceae","Albibacterium",0,167.124
"Sphingobacteriaceae","Arcticibacter",13.826,26.972
"Sphingobacteriaceae","Daejeonella",84.912,1101.932
"Sphingobacteriaceae","Incertae_Sedis",522.836,1657.83
"Sphingobacteriaceae","Mucilaginibacter",468.956,669.428
"Sphingobacteriaceae","Pedobacter",181.152,2167.772
"Sphingobacteriaceae","Pseudopedobacter",0,0
"Sphingobacteriaceae","Solitalea",0,61.574
"Sphingobacteriaceae","Sphingobacterium",0,2.012
