Species,latrine,Effort,n_all,n_IE,RAI_all,RAI_IE_vicugna
Vicugna vicugna,L56,396.2,4,4,1.01,1.01
Vicugna vicugna,L57B,718.98,2,2,0.28,0.28
Vicugna vicugna,L58,721.05,3,3,0.42,0.42
Vicugna vicugna,L75,718.95,29,29,4.03,4.03
Vicugna vicugna,L77,681.06,143,65,21,9.54
Vicugna vicugna,L78,559.98,86,50,15.36,8.93
Vicugna vicugna,L79,559.96,15,15,2.68,2.68
Vicugna vicugna,L80,720.84,20,19,2.77,2.64
Vicugna vicugna,L81-1,720.85,11,10,1.53,1.39
Vicugna vicugna,L81,,,,,1.32
Vicugna vicugna,L81-2,719.94,10,9,1.39,1.25
Vicugna vicugna,L83-1,721.07,10,8,1.39,1.11
Vicugna vicugna,L83,,,,,1.18
Vicugna vicugna,L83-2,719,13,9,1.81,1.25
Vicugna vicugna,L84-1,343.22,7,6,2.04,1.75
Vicugna vicugna,L84-2,419.18,14,6,3.34,1.43
Vicugna vicugna,L85,561.11,2,2,0.36,0.36
Vicugna vicugna,L86,721.25,94,25,13.03,3.47
Vicugna vicugna,L87,561,14,14,2.5,2.5
Vicugna vicugna,L91,721.14,60,44,8.32,6.1
Vicugna vicugna,L93,351.71,30,24,8.53,6.82
Vicugna vicugna,L94,353.22,15,15,4.25,4.25
