"","Phylum","treatment","avg_rel_ab","soil","trt_soil"
"1","Other","control_ab_pro",6.4723526765632,"dryRGM","control_ab_pro_dryRGM"
"2","Other","latrine_ab_pro",6.22207377417904,"dryRGM","latrine_ab_pro_dryRGM"
"3","Acidobacteriota","control_ab_pro",7.05569950517319,"dryRGM","control_ab_pro_dryRGM"
"4","Acidobacteriota","latrine_ab_pro",5.87093117408907,"dryRGM","latrine_ab_pro_dryRGM"
"5","Actinomycetota","control_ab_pro",42.7912910481332,"dryRGM","control_ab_pro_dryRGM"
"6","Actinomycetota","latrine_ab_pro",18.0566306792623,"dryRGM","latrine_ab_pro_dryRGM"
"7","Bacillota","latrine_ab_pro",1.81843904633378,"dryRGM","latrine_ab_pro_dryRGM"
"8","Bacteroidota","control_ab_pro",12.3102564102564,"dryRGM","control_ab_pro_dryRGM"
"9","Bacteroidota","latrine_ab_pro",28.0958029689609,"dryRGM","latrine_ab_pro_dryRGM"
"10","Chloroflexota","control_ab_pro",4.10334233018444,"dryRGM","control_ab_pro_dryRGM"
"11","Chloroflexota","latrine_ab_pro",2.44442645074224,"dryRGM","latrine_ab_pro_dryRGM"
"12","Cyanobacteriota","control_ab_pro",1.26183985605038,"dryRGM","control_ab_pro_dryRGM"
"13","Gemmatimonadota","control_ab_pro",1.58629779577148,"dryRGM","control_ab_pro_dryRGM"
"14","Gemmatimonadota","latrine_ab_pro",1.37774179037337,"dryRGM","latrine_ab_pro_dryRGM"
"15","Myxococcota","latrine_ab_pro",1.01632028789924,"dryRGM","latrine_ab_pro_dryRGM"
"16","Planctomycetota","control_ab_pro",4.2325371120108,"dryRGM","control_ab_pro_dryRGM"
"17","Planctomycetota","latrine_ab_pro",3.71472784525416,"dryRGM","latrine_ab_pro_dryRGM"
"18","Pseudomonadota","control_ab_pro",17.0730814215025,"dryRGM","control_ab_pro_dryRGM"
"19","Pseudomonadota","latrine_ab_pro",26.3596626180837,"dryRGM","latrine_ab_pro_dryRGM"
"20","Verrucomicrobiota","control_ab_pro",3.11330184435448,"dryRGM","control_ab_pro_dryRGM"
