X,Vicuna.RAI,Shannon.Index,Animal.Richness,latrine,Observed,Shannon,elevation,InvSimpson,Pielou,replicate,latrine_trt_month,month-collected
L56,1.01,0.746649108,13,L56,772,5.745101797,5280,106.4083735,0.5603251,1,L56_latrine_wet,wet
L56,1.01,0.746649108,13,L56,1090,6.080374036,5280,149.0920342,0.593024512,2,L56_latrine_wet,wet
L57B,0.28,0.953339782,16,L57B,335,5.288333076,5293,113.3682837,0.515776024,1,L57B_latrine_dry,dry
L57B,0.28,0.953339782,16,L57B,824,6.043416652,5293,194.0032072,0.589420024,2,L57B_latrine_dry,dry
L57B,0.28,0.953339782,16,L57B,700,5.814548038,5293,177.2050672,0.567098256,1,L57B_latrine_wet,wet
L57B,0.28,0.953339782,16,L57B,674,5.79054758,5293,174.3601687,0.56475747,2,L57B_latrine_wet,wet
L58,0.42,0.669504357,6,L58,759,5.817468492,5285,140.6190826,0.567383091,1,L58_latrine_wet,wet
L58,0.42,0.669504357,6,L58,717,5.748977278,5285,131.5247257,0.56070308,2,L58_latrine_wet,wet
L75,4.03,0.996109022,5,L75,841,5.886063698,5394,155.1730737,0.574073245,1,L75_latrine_wet,wet
L75,4.03,0.996109022,5,L75,834,5.99478895,5394,200.6501233,0.58467732,2,L75_latrine_wet,wet
L75,4.03,0.996109022,5,L75,780,5.744307484,5394,132.1565922,0.56024763,1,L75_latrine_dry,dry
L75,4.03,0.996109022,5,L75,903,5.83719481,5394,131.5304426,0.569307017,2,L75_latrine_dry,dry
L77,9.53,1.411124722,16,L77,971,5.90157474,5369,113.7966511,0.575586051,1,L77_latrine_dry,dry
L77,9.53,1.411124722,16,L77,703,5.59273042,5369,85.22578699,0.545464179,2,L77_latrine_dry,dry
L77,9.53,1.411124722,16,L77,990,6.132826756,5369,203.0332125,0.598140275,1,L77_latrine_wet,wet
L77,9.53,1.411124722,16,L77,667,5.78120552,5369,152.6649816,0.56384633,2,L77_latrine_wet,wet
L79,3.21,0.756782628,4,L79,891,5.995155436,5365,184.5564041,0.584713063,1,L79_latrine_wet,wet
L79,3.21,0.756782628,4,L79,1067,6.13875807,5365,204.1886226,0.598718761,2,L79_latrine_wet,wet
L80,2.64,1.32245296,12,L80,1153,6.195957275,5363,211.7202647,0.604297453,2,L80_latrine_dry,dry
L80,2.64,1.32245296,12,L80,1095,6.257604903,5363,236.1109536,0.610310003,1,L80_latrine_wet,wet
L80,2.64,1.32245296,12,L80,639,5.839942409,5363,172.6124093,0.569574993,2,L80_latrine_wet,wet
L80,2.64,1.32245296,12,L80,757,5.869553665,5363,154.5545971,0.572463006,1,L80_latrine_dry,dry
L81-1,1.39,1.236195248,14,L81-1,294,4.91400332,5358,68.94980237,0.479267296,1,L81_latrine_dry,dry
L81-1,1.39,1.236195248,14,L81-1,556,5.454011349,5358,113.860321,0.531934779,2,L81_latrine_dry,dry
L81-1,1.39,1.236195248,14,L81-1,796,5.851357779,5358,160.6769611,0.570688345,1,L81_latrine_wet,wet
L81-1,1.39,1.236195248,14,L81-1,1073,5.991435969,5358,159.2780963,0.5843503,2,L81_latrine_wet,wet
L81-2,1.25,1.231061689,12,L81-2,294,4.91400332,5358,68.94980237,0.479267296,1,L81_latrine_dry,dry
L81-2,1.25,1.231061689,12,L81-2,556,5.454011349,5358,113.860321,0.531934779,2,L81_latrine_dry,dry
L81-2,1.25,1.231061689,12,L81-2,796,5.851357779,5358,160.6769611,0.570688345,1,L81_latrine_wet,wet
L81-2,1.25,1.231061689,12,L81-2,1073,5.991435969,5358,159.2780963,0.5843503,2,L81_latrine_wet,wet
L83-1,1.11,1.296393289,10,L83-1,751,5.794859266,5247,75.99056707,0.565177992,1,L83_latrine_dry,dry
L83-1,1.11,1.296393289,10,L83-1,814,5.871118572,5247,90.23149122,0.572615633,2,L83_latrine_dry,dry
L83-2,1.25,1.172664469,18,L83-2,751,5.794859266,5247,75.99056707,0.565177992,1,L83_latrine_dry,dry
L83-2,1.25,1.172664469,18,L83-2,814,5.871118572,5247,90.23149122,0.572615633,2,L83_latrine_dry,dry
L85,0.36,1.12907356,14,L85,779,5.179400311,5234,45.38745051,0.50515171,1,L85_latrine_wet,wet
L85,0.36,1.12907356,14,L85,919,5.29380595,5234,46.41596921,0.516309798,2,L85_latrine_wet,wet
L86,3.47,1.717018967,20,L86,1286,6.345446163,5211,212.7798542,0.618877242,1,L86_latrine_dry,dry
L86,3.47,1.717018967,20,L86,1107,6.239586181,5211,200.8044754,0.60855262,2,L86_latrine_dry,dry
L86,3.47,1.717018967,20,L86,953,6.330853121,5211,322.2621708,0.61745397,1,L86_latrine_wet,wet
L86,3.47,1.717018967,20,L86,1183,6.49838411,5211,364.2774505,0.633793422,2,L86_latrine_wet,wet
L91,6.1,1.523432412,14,L91,987,6.159247779,5192,177.9749902,0.600717142,2,L91_latrine_dry,dry
L91,6.1,1.523432412,14,L91,765,5.774171463,5192,135.8904326,0.563160292,1,L91_latrine_dry,dry
L91,6.1,1.523432412,14,L91,1336,6.374706302,5192,166.4550889,0.621731011,1,L91_latrine_wet,wet
L91,6.1,1.523432412,14,L91,1277,6.512536329,5192,366.4775516,0.635173701,2,L91_latrine_wet,wet
