"pairs","SumOfSqs","F.Model","R2","pval","p.adj"
"control_LIA-1931 vs latrine_LIA-1931",0.0631714271425282,6.11720619037521,0.504836353716103,0.032,0.384
"control_LIA-1931 vs control_1984-2024",0.0220320434962034,2.17600178038898,0.21383661553426,0.042,0.42
"control_LIA-1931 vs latrine_1984-2024",0.0759973150774093,6.61973121235631,0.452794317228038,0.005,0.07
"control_LIA-1931 vs control_1931-1962",0.00846317875259124,0.873381625153229,0.179214699839102,0.6,1
"control_LIA-1931 vs latrine_1931-1962",0.0276552650871137,2.79656066981241,0.411467035413015,0.0666666666666667,0.52
"latrine_LIA-1931 vs control_1984-2024",0.0978965861665786,9.22234291165648,0.535487126168797,0.008,0.104
"latrine_LIA-1931 vs latrine_1984-2024",0.0144930700129418,1.21072564906086,0.13144736855606,0.234,0.936
"latrine_LIA-1931 vs control_1931-1962",0.0385068214930868,3.60874787583761,0.474289322596373,0.133333333333333,0.8
"latrine_LIA-1931 vs latrine_1931-1962",0.0102578982508294,0.943748702413637,0.190897385612032,0.466666666666667,1
"control_1984-2024 vs latrine_1984-2024",0.123674557615347,10.7727113999833,0.518599194517859,0.003,0.045
"control_1984-2024 vs control_1931-1962",0.0232896990005114,2.26404175939075,0.273963010510932,0.065,0.52
"control_1984-2024 vs latrine_1931-1962",0.0440981598114958,4.23232085109391,0.41362276581089,0.045,0.42
"latrine_1984-2024 vs control_1931-1962",0.0474534125980169,3.92371691280328,0.395387831724726,0.036,0.396
"latrine_1984-2024 vs latrine_1931-1962",0.0181207294426495,1.48207485130073,0.198083403434954,0.168,0.84
"control_1931-1962 vs latrine_1931-1962",0.0183496311664569,1.80992331075987,0.475055050491,0.333333333333333,1
