sample-id	latrine	treatment	month-collected	year-collected	replicate	pcr-plate-16s
1	L80 	control	7	2023	1	1
2	L80 	control	7	2023	2	1
3	L80 	latrine	7	2023	1	1
4	L80 	latrine	7	2023	2	1
5	L75	control	7	2023	1	1
6	L75	control	7	2023	2	1
7	L75	latrine	7	2023	1	1
8	L75	latrine	7	2023	2	1
9	L55	control	7	2023	1	1
10	L55	control	7	2023	2	1
11	L55	latrine	7	2023	1	1
12	L55	latrine	7	2023	2	1
13	L70	control	7	2023	1	1
14	L70	control	7	2023	2	1
15	L70	latrine	7	2023	1	1
16	L70	latrine	7	2023	2	1
17	L86	control	7	2023	1	1
18	L86	control	7	2023	2	1
19	L86	latrine	7	2023	1	1
20	L86	latrine	7	2023	2	1
21	L71	control	7	2023	1	1
22	L71	control	7	2023	2	1
23	L71	latrine	7	2023	1	1
24	L71	latrine	7	2023	2	1
25	L57-B	control	7	2023	1	1
26	L57-B	control	7	2023	2	1
27	L57-B	latrine	7	2023	1	1
28	L57-B	latrine	7	2023	2	1
29	L77	control	7	2023	1	1
30	L77	control	7	2023	2	1
31	L77	latrine	7	2023	1	1
32	L77	latrine	7	2023	2	1
33	L81	control	7	2023	1	1
34	L81	control	7	2023	2	1
35	L81	latrine	7	2023	1	1
36	L81	latrine	7	2023	2	1
37	L83	control	7	2023	1	1
38	L83	control	7	2023	2	1
39	L83	latrine	7	2023	1	1
40	L83	latrine	7	2023	2	1
41	L57A	control	7	2023	1	1
42	L57A	control	7	2023	2	1
43	L57A	latrine	7	2023	1	1
44	L57A	latrine	7	2023	2	1
45	L91	control	7	2023	1	1
46	L91	control	7	2023	2	1
47	L91	latrine	7	2023	1	1
48	L91	latrine	7	2023	2	1
51	L83	control	12	2023	1	1
52	L83	control	12	2023	2	1
53	L83	latrine	12	2023	1	1
54	L83	latrine	12	2023	2	1
55	L94	control	12	2023	1	1
56	L94	control	12	2023	2	1
57	L94	latrine	12	2023	1	1
58	L94	latrine	12	2023	2	1
59	L62	control	12	2023	1	1
60	L62	control	12	2023	2	1
61	L62	latrine	12	2023	1	1
62	L62	latrine	12	2023	2	1
49	L91	latrine	7	2023	1	1
50	L91	latrine	7	2023	2	1
63	L57A	control	12	2023	1	1
64	L57A	control	12	2023	2	1
65	L57A	latrine	12	2023	1	1
66	L57A	latrine	12	2023	2	1
67	L101	control	12	2023	1	1
68	L101	control	12	2023	2	1
69	L101	latrine	12	2023	1	1
70	L101	latrine	12	2023	2	1
71	L102	control	12	2023	1	1
72	L102	control	12	2023	2	1
73	L102	latrine	12	2023	1	1
74	L102	latrine	12	2023	2	1
