"Species","species","average","overall","sd","ratio","ava","avb","ord","cusum","p","Comparison","Position","Kingdom","Phylum","Class","Order","Family","Genus","Species.y"
"ASV_5767","ASV_5767",0.00929041835357625,0.922431848852902,0.010727651074643,0.866025403784439,0,68.842,2534,1,0.001,"control_1931-1962_latrine_1931-1962",5767,"Bacteria","Acidobacteriota","Blastocatellia","11-24","Incertae_Sedis","Incertae_Sedis",NA
"ASV_11410","ASV_11410",0.00732968960863698,0.922431848852902,0.00846359653724592,0.866025403784439,0,54.313,8902,1,0.011,"control_1931-1962_latrine_1931-1962",11410,"Bacteria","Actinomycetota","Thermoleophilia","Solirubrobacterales","67-14","Incertae_Sedis",NA
"ASV_25390","ASV_25390",0.00628744939271255,0.922431848852902,0.00726012119879748,0.866025403784439,0,46.59,25017,1,0.001,"control_1931-1962_latrine_1931-1962",25390,"Bacteria","Planctomycetota","Incertae_Sedis","Incertae_Sedis","Incertae_Sedis","Incertae_Sedis",NA
"ASV_2522","ASV_2522",0.00627854251012146,0.922431848852902,0.00724983641667426,0.866025403784439,0,46.524,4386,0.955565146403481,0.001,"control_1931-1962_latrine_1931-1962",2522,"Bacteria","Pseudomonadota","Gammaproteobacteria","Legionellales","Legionellaceae","Legionella",NA
"ASV_6406","ASV_6406",0.00488502024291498,0.922431848852902,0.00564073550448747,0.866025403784439,0,36.198,3242,1,0.01,"control_1931-1962_latrine_1931-1962",6406,"Bacteria","Acidobacteriota","Holophagae","Subgroup_7","Incertae_Sedis","Incertae_Sedis",NA
"ASV_26902","ASV_26902",0.00457341430499325,0.922431848852902,0.00528092396020708,0.866025403784439,0,33.889,26704,1,0.001,"control_1931-1962_latrine_1931-1962",26902,"Bacteria","Pseudomonadota","Alphaproteobacteria","Micropepsales","Micropepsaceae","Incertae_Sedis",NA
"ASV_5947","ASV_5947",0.00408218623481781,0.922431848852902,0.0047137026431085,0.866025403784439,0,30.249,2725,1,0.001,"control_1931-1962_latrine_1931-1962",5947,"Bacteria","Acidobacteriota","Blastocatellia","Incertae_Sedis","Incertae_Sedis","Incertae_Sedis",NA
"ASV_25120","ASV_25120",0.00350404858299595,0.922431848852902,0.00249748792558762,1.40302923873856,25.965,0,24705,1,0.009,"control_1931-1962_latrine_1931-1962",25120,"Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Xanthobacteraceae","Rhodoplanes",NA
"ASV_7240","ASV_7240",0.00332307692307692,0.922431848852902,0.00383715871215259,0.866025403784439,24.624,0,4153,1,0.012,"control_1931-1962_latrine_1931-1962",7240,"Bacteria","Acidobacteriota","Subgroup_25","Incertae_Sedis","Incertae_Sedis","Incertae_Sedis",NA
"ASV_11961","ASV_11961",0.00325398110661269,0.922431848852902,0.00317260577188791,1.0256493685556,24.112,4.188,9515,1,0.017,"control_1931-1962_latrine_1931-1962",11961,"Bacteria","Actinomycetota","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Incertae_Sedis",NA
"ASV_11958","ASV_11958",0.0386823661718399,0.899117813765182,0.016641388848486,2.32446741819623,309.743333333333,23.107,9773,1,0.017,"control_1984-2024_control_1931-1962",11958,"Bacteria","Actinomycetota","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Incertae_Sedis",NA
"ASV_22406","ASV_22406",0.0140791273054431,0.899117813765182,0.0086573502054817,1.62626288313119,109.861333333333,5.535,21630,1,0.024,"control_1984-2024_control_1931-1962",22406,"Bacteria","Actinomycetota","Acidimicrobiia","Acidimicrobiales","Acidimicrobiaceae","Incertae_Sedis",NA
"ASV_25120","ASV_25120",0.00350404858299595,0.899117813765182,0.00225906282753196,1.55110718493126,0,25.965,24848,1,0.005,"control_1984-2024_control_1931-1962",25120,"Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Xanthobacteraceae","Rhodoplanes",NA
"ASV_7240","ASV_7240",0.00332307692307692,0.899117813765182,0.00347084064797822,0.957427107756338,0,24.624,4379,1,0.013,"control_1984-2024_control_1931-1962",7240,"Bacteria","Acidobacteriota","Subgroup_25","Incertae_Sedis","Incertae_Sedis","Incertae_Sedis",NA
"ASV_11961","ASV_11961",0.00325398110661269,0.899117813765182,0.00339867242137958,0.957427107756338,0,24.112,9777,1,0.008,"control_1984-2024_control_1931-1962",11961,"Bacteria","Actinomycetota","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Incertae_Sedis",NA
"ASV_6419","ASV_6419",0.00320526315789474,0.899117813765182,0.00334778818348484,0.957427107756338,0,23.751,3502,1,0.001,"control_1984-2024_control_1931-1962",6419,"Bacteria","Acidobacteriota","Holophagae","Subgroup_7","Incertae_Sedis","Incertae_Sedis",NA
"ASV_5620","ASV_5620",0.00294197031039136,0.899117813765182,0.00307278777314511,0.957427107756338,0,21.8,2628,1,0.001,"control_1984-2024_control_1931-1962",5620,"Bacteria","Verrucomicrobiota","Verrucomicrobiia","Chthoniobacterales","Chthoniobacteraceae","Candidatus_Udaeobacter",NA
"ASV_22273","ASV_22273",0.00277692307692308,0.899117813765182,0.00265186106110771,1.04716009358467,2.999,20.577,21488,1,0.012,"control_1984-2024_control_1931-1962",22273,"Bacteria","Actinomycetota","Acidimicrobiia","Acidimicrobiales","Acidimicrobiaceae","Incertae_Sedis",NA
"ASV_23893","ASV_23893",0.0027663967611336,0.899117813765182,0.00265034993112145,1.0437854747592,0,20.499,23448,1,0.019,"control_1984-2024_control_1931-1962",23893,"Bacteria","Actinomycetota","Thermoleophilia","Gaiellales","Incertae_Sedis","Incertae_Sedis",NA
"ASV_26628","ASV_26628",0.00249649122807018,0.899117813765182,0.00150749840521959,1.65604900106447,0,18.499,26427,1,0.005,"control_1984-2024_control_1931-1962",26628,"Bacteria","Pseudomonadota","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Incertae_Sedis",NA
"ASV_22406","ASV_22406",0.0143652271704903,0.947509311740891,0.00865429889566058,1.65989496592189,109.861333333333,3.415,21426,1,0.02,"control_1984-2024_latrine_1931-1962",22406,"Bacteria","Actinomycetota","Acidimicrobiia","Acidimicrobiales","Acidimicrobiaceae","Incertae_Sedis",NA
"ASV_5767","ASV_5767",0.00929041835357625,0.947509311740891,0.00970352549903008,0.957427107756338,0,68.842,2485,1,0.001,"control_1984-2024_latrine_1931-1962",5767,"Bacteria","Acidobacteriota","Blastocatellia","11-24","Incertae_Sedis","Incertae_Sedis",NA
"ASV_11931","ASV_11931",0.0088370220422852,0.947509311740891,0.00571204857395893,1.54708454031237,65.4823333333333,0,9494,1,0.025,"control_1984-2024_latrine_1931-1962",11931,"Bacteria","Actinomycetota","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Incertae_Sedis",NA
"ASV_11410","ASV_11410",0.00732968960863698,0.947509311740891,0.00765561111572617,0.957427107756338,0,54.313,8896,1,0.006,"control_1984-2024_latrine_1931-1962",11410,"Bacteria","Actinomycetota","Thermoleophilia","Solirubrobacterales","67-14","Incertae_Sedis",NA
"ASV_25390","ASV_25390",0.00628744939271255,0.947509311740891,0.00656702671334086,0.957427107756338,0,46.59,25021,1,0.001,"control_1984-2024_latrine_1931-1962",25390,"Bacteria","Planctomycetota","Incertae_Sedis","Incertae_Sedis","Incertae_Sedis","Incertae_Sedis",NA
"ASV_2522","ASV_2522",0.00627854251012146,0.947509311740891,0.00655772377788088,0.957427107756338,0,46.524,16527,0.96789423339321,0.001,"control_1984-2024_latrine_1931-1962",2522,"Bacteria","Pseudomonadota","Gammaproteobacteria","Legionellales","Legionellaceae","Legionella",NA
"ASV_26592","ASV_26592",0.0049834008097166,0.947509311740891,0.00489686789113919,1.01767107475658,0,36.927,26347,1,0.015,"control_1984-2024_latrine_1931-1962",26592,"Bacteria","Pseudomonadota","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Incertae_Sedis",NA
"ASV_6406","ASV_6406",0.00488502024291498,0.947509311740891,0.00510223723909664,0.957427107756338,0,36.198,3204,1,0.003,"control_1984-2024_latrine_1931-1962",6406,"Bacteria","Acidobacteriota","Holophagae","Subgroup_7","Incertae_Sedis","Incertae_Sedis",NA
"ASV_26902","ASV_26902",0.00457341430499325,0.947509311740891,0.00477677545156489,0.957427107756338,0,33.889,26701,1,0.001,"control_1984-2024_latrine_1931-1962",26902,"Bacteria","Pseudomonadota","Alphaproteobacteria","Micropepsales","Micropepsaceae","Incertae_Sedis",NA
"ASV_5947","ASV_5947",0.00408218623481781,0.947509311740891,0.00426370446559021,0.957427107756338,0,30.249,2682,1,0.001,"control_1984-2024_latrine_1931-1962",5947,"Bacteria","Acidobacteriota","Blastocatellia","Incertae_Sedis","Incertae_Sedis","Incertae_Sedis",NA
"ASV_11958","ASV_11958",0.0342865047233468,0.961728939871045,0.017475344708596,1.96199304191588,309.743333333333,55.6803333333333,8421,1,0.003,"control_1984-2024_latrine_1984-2024",11958,"Bacteria","Actinomycetota","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Incertae_Sedis",NA
"ASV_11930","ASV_11930",0.0246079622132254,0.961728939871045,0.0305689345256608,0.804999015996728,182.793,0.448,8387,1,0.001,"control_1984-2024_latrine_1984-2024",11930,"Bacteria","Actinomycetota","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Incertae_Sedis",NA
"ASV_19307","ASV_19307",0.0197219073324336,0.961728939871045,0.0149603416276749,1.31827920934308,146.139333333333,0,16962,1,0.001,"control_1984-2024_latrine_1984-2024",19307,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Incertae_Sedis",NA
