"Species","species","average","overall","sd","ratio","ava","avb","ord","cusum","p","Comparison","Position","Kingdom","Phylum","Class","Order","Family","Genus","Species.y"
"ASV_5988","ASV_5988",0.0092208726945569,0.927607899235268,0.0132632101941261,0.695221787153807,68.3266666666667,0,583,1,0.001,"control_1931-1962_control_1984-2024",5988,"Bacteria","Acidobacteriota","Blastocatellia","Pyrinomonadales","Pyrinomonadaceae","Incertae_Sedis",NA
"ASV_11735","ASV_11735",0.00564974358974359,0.927607899235268,0.00423799038851796,1.33311854718937,0,41.8646,7651,1,0.028,"control_1931-1962_control_1984-2024",11735,"Bacteria","Actinomycetota","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Incertae_Sedis",NA
"ASV_24939","ASV_24939",0.00424655870445344,0.927607899235268,0.00528878737247611,0.802936175228629,31.7366666666667,0.9134,24302,1,0.011,"control_1931-1962_control_1984-2024",24939,"Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Xanthobacteraceae","Rhodoplanes",NA
"ASV_22403","ASV_22403",0.00414800719748088,0.927607899235268,0.00424279362679559,0.977659429693663,28.304,12.8582,21017,1,0.024,"control_1931-1962_control_1984-2024",22403,"Bacteria","Actinomycetota","Acidimicrobiia","Acidimicrobiales","Acidimicrobiaceae","Incertae_Sedis",NA
"ASV_17988","ASV_17988",0.00374124156545209,0.927607899235268,0.00271165293617481,1.37969041522315,0,27.7226,15411,1,0.038,"control_1931-1962_control_1984-2024",17988,"Bacteria","Candidatus_Kapabacteria","Kapabacteria","Kapabacteriales","Incertae_Sedis","Incertae_Sedis",NA
"ASV_4822","ASV_4822",0.00314319388214125,0.927607899235268,0.000998318533309188,3.14848795977203,23.6146666666667,0.3236,28344,0.994641458653759,0.001,"control_1931-1962_control_1984-2024",4822,"Bacteria","Acidobacteriota","Acidobacteriae","Subgroup_2","Incertae_Sedis","Incertae_Sedis",NA
"ASV_5897","ASV_5897",0.00302920377867746,0.927607899235268,0.00216750155794778,1.39755552542511,0,22.4464,472,1,0.03,"control_1931-1962_control_1984-2024",5897,"Bacteria","Acidobacteriota","Blastocatellia","Blastocatellales","Blastocatellaceae","Blastocatella",NA
"ASV_974","ASV_974",0.00272604588394062,0.927607899235268,0.00392111687854444,0.695221787153807,20.2,0,5999,0.724680990341192,0.038,"control_1931-1962_control_1984-2024",974,"Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Incertae_Sedis",NA
"ASV_1044","ASV_1044",0.00262802519118309,0.927607899235268,0.00147691731114967,1.77939900314214,28.33,10.4614,23940,0.739282020151805,0.027,"control_1931-1962_control_1984-2024",1044,"Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Incertae_Sedis",NA
"ASV_22404","ASV_22404",0.00262037786774629,0.927607899235268,0.00324639642438337,0.807165091750619,18.4566666666667,2.881,21021,1,0.016,"control_1931-1962_control_1984-2024",22404,"Bacteria","Actinomycetota","Acidimicrobiia","Acidimicrobiales","Acidimicrobiaceae","Incertae_Sedis",NA
"ASV_5988","ASV_5988",0.0092208726945569,0.855505802968961,0.0136201316172435,0.67700320038633,68.3266666666667,0,589,1,0.001,"control_1931-1962_control_LIA",5988,"Bacteria","Acidobacteriota","Blastocatellia","Pyrinomonadales","Pyrinomonadaceae","Incertae_Sedis",NA
"ASV_24939","ASV_24939",0.00418342330184435,0.855505802968961,0.00515502773800137,0.811522947006739,31.7366666666667,4.2735,24216,1,0.01,"control_1931-1962_control_LIA",24939,"Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Xanthobacteraceae","Rhodoplanes",NA
"ASV_11998","ASV_11998",0.00405357624831309,0.855505802968961,0.00327364538099285,1.23824537375019,0,30.037,8200,1,0.003,"control_1931-1962_control_LIA",11998,"Bacteria","Actinomycetota","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Conexibacter",NA
"ASV_14169","ASV_14169",0.00346545209176788,0.855505802968961,0.00345885414935808,1.00190755149679,0,25.679,10855,1,0.003,"control_1931-1962_control_LIA",14169,"Bacteria","Candidatus_Eremiobacterota","Eremiobacteria","Incertae_Sedis","Incertae_Sedis","Incertae_Sedis",NA
