"pairs","SumOfSqs","F.Model","R2","pval","p.adj"
"control_1931-1962 vs latrine_1931-1962",0.0278301067416836,3.51858949587745,0.467985317965124,0.1,0.644
"control_1931-1962 vs control_LIA-1931",0.0159264618802339,1.65234441951793,0.190970717230185,0.092,0.644
"control_1931-1962 vs latrine_LIA-1931",0.0461544941150956,5.61100192190219,0.444929114803898,0.014,0.196
"control_1931-1962 vs control_1984-2024",0.064764461608254,4.7888402832729,0.303305385155255,0.005,0.085
"control_1931-1962 vs latrine_1984-2024",0.0519154846978687,6.07901695049202,0.355934827403336,0.004,0.076
"control_1931-1962 vs control_LIA",0.0206036585559844,2.07147383043576,0.292933818339269,0.096,0.644
"control_1931-1962 vs latrine_LIA",0.0243985168592253,3.15383760341106,0.386791809796615,0.052,0.468
"latrine_1931-1962 vs control_LIA-1931",0.0448971548006779,4.24026276869244,0.37723875819904,0.014,0.196
"latrine_1931-1962 vs latrine_LIA-1931",0.0152983696664739,1.66734217615749,0.19237064168807,0.042,0.42
"latrine_1931-1962 vs control_1984-2024",0.0892002386850824,6.31357583428544,0.364660419933755,0.002,0.044
"latrine_1931-1962 vs latrine_1984-2024",0.0124505752406596,1.36155248692007,0.110144133462261,0.151,0.644
"latrine_1931-1962 vs control_LIA",0.0497086823890685,4.40843882169821,0.468562203065109,0.028,0.336
"latrine_1931-1962 vs latrine_LIA",0.00993560783662504,1.09597270268348,0.179786353406902,0.353,0.644
"control_LIA-1931 vs latrine_LIA-1931",0.076893295380881,7.68469848892124,0.434539412347652,0.002,0.044
"control_LIA-1931 vs control_1984-2024",0.05447919239538,3.98812993147809,0.221708979569862,0.001,0.028
"control_LIA-1931 vs latrine_1984-2024",0.095882119800436,9.83972236233645,0.41274483875206,0.001,0.028
"control_LIA-1931 vs control_LIA",0.0457346657616887,3.96777779400505,0.331538391027999,0.005,0.085
"control_LIA-1931 vs latrine_LIA",0.0436926579633691,4.30676657553818,0.349951106093019,0.009,0.135
"latrine_LIA-1931 vs control_1984-2024",0.127085277353677,9.81062646037225,0.412027229804304,0.001,0.028
"latrine_LIA-1931 vs latrine_1984-2024",0.0126105034173669,1.395291844362,0.0906310746472127,0.116,0.644
"latrine_LIA-1931 vs control_LIA",0.0878117816866637,8.53357599348051,0.516136133940138,0.004,0.076
"latrine_LIA-1931 vs latrine_LIA",0.0112368827679717,1.26133098181944,0.136193273331394,0.188,0.644
"control_1984-2024 vs latrine_1984-2024",0.189900522167515,15.7003864827643,0.465881496367826,0.001,0.028
"control_1984-2024 vs control_LIA",0.109218299603445,7.55375803479803,0.386307226536981,0.001,0.028
"control_1984-2024 vs latrine_LIA",0.0870296623287176,6.42860843606411,0.348838516937804,0.001,0.028
"latrine_1984-2024 vs control_LIA",0.104152043556094,10.5308293145852,0.467396435681491,0.003,0.06
"latrine_1984-2024 vs latrine_LIA",0.0134961261715352,1.50470733559049,0.111420951094953,0.062,0.496
"control_LIA vs latrine_LIA",0.0491572270162576,4.65049780220745,0.436646050595267,0.032,0.352
