"contrast","estimate","SE","df","t.ratio","p.value"
"control LIA - latrine LIA",-0.499999999994645,116.568376931343,18.7248936941756,-0.00428932797347892,1
"control LIA - (control LIA-1931)",-51.2499999999984,111.76616501289,37.2119368403905,-0.458546645078928,0.999770854283182
"control LIA - (latrine LIA-1931)",162.333333333335,111.76616501289,37.2119368403906,1.4524371782338,0.826676227021088
"control LIA - (control 1931-1962)",-110.499999999998,132.243509853466,37.2119368403906,-0.835579758299208,0.989758075681417
"control LIA - (latrine 1931-1962)",-94.9999999999986,132.243509853466,37.2119368403906,-0.718371737904297,0.995881969219861
"control LIA - (control 1984-2024)",471.066578448845,102.901507153276,37.6792940614337,4.57783944551143,0.00118406793797543
"control LIA - (latrine 1984-2024)",127.500000000002,102.435382261298,37.2119368403905,1.24468711089267,0.912748809533254
"latrine LIA - (control LIA-1931)",-50.7500000000038,111.766165012889,37.2119368403906,-0.454073019273328,0.999785313286659
"latrine LIA - (latrine LIA-1931)",162.833333333329,111.766165012889,37.2119368403907,1.4569108040394,0.82446936030582
"latrine LIA - (control 1931-1962)",-110.000000000004,132.243509853466,37.2119368403906,-0.831798854415542,0.990028061593187
"latrine LIA - (latrine 1931-1962)",-94.500000000004,132.243509853466,37.2119368403907,-0.714590834020632,0.996013746231444
"latrine LIA - (control 1984-2024)",471.566578448839,102.901507153276,37.6792940614337,4.58269846083421,0.00116714291990916
"latrine LIA - (latrine 1984-2024)",127.999999999996,102.435382261298,37.2119368403906,1.24956823681769,0.911112915460336
"(control LIA-1931) - (latrine LIA-1931)",213.583333333333,95.1776812087361,18.7248936941764,2.24404850612949,0.371225653618449
"(control LIA-1931) - (control 1931-1962)",-59.2499999999999,122.433699486808,37.2119368403907,-0.483935389099173,0.999672529130508
"(control LIA-1931) - (latrine 1931-1962)",-43.7500000000002,122.433699486808,37.2119368403908,-0.357336257773654,0.999957104582444
"(control LIA-1931) - (control 1984-2024)",522.316578448843,89.9465677281689,37.8250107025223,5.80696508650955,2.74247785851944e-05
"(control LIA-1931) - (latrine 1984-2024)",178.75,89.4129320103116,37.2119368403908,1.99915153189905,0.495995898877514
"(latrine LIA-1931) - (control 1931-1962)",-272.833333333333,122.433699486808,37.2119368403908,-2.22841696752559,0.358922589873363
"(latrine LIA-1931) - (latrine 1931-1962)",-257.333333333333,122.433699486808,37.2119368403909,-2.10181783620007,0.432386480964987
"(latrine LIA-1931) - (control 1984-2024)",308.73324511551,89.9465677281689,37.8250107025223,3.43240718254581,0.0285777502151842
"(latrine LIA-1931) - (latrine 1984-2024)",-34.8333333333331,89.4129320103115,37.2119368403908,-0.389578247241863,0.999923064894307
"(control 1931-1962) - (latrine 1931-1962)",15.4999999999997,134.601567600617,18.7248936941764,0.115154676697306,0.9999999791622
"(control 1931-1962) - (control 1984-2024)",581.566578448843,114.398668273514,37.5895425171984,5.08368311647113,0.000259665785204755
"(control 1931-1962) - (latrine 1984-2024)",238,113.979571272031,37.2119368403908,2.08809348327846,0.440712484416188
"(latrine 1931-1962) - (control 1984-2024)",566.066578448843,114.398668273514,37.5895425171985,4.9481920287345,0.000391882453881776
"(latrine 1931-1962) - (latrine 1984-2024)",222.5,113.979571272031,37.2119368403908,1.95210420180444,0.52595462692257
"(control 1984-2024) - (latrine 1984-2024)",-343.566578448843,74.3706073362358,19.2531971277426,-4.61965540896486,0.00366046392143626
